rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
1,T1105,Ingress Tool Transfer,10,Critical,1.245,High,1.123,Moderate,1.112,Moderate,1.154,Moderate,1.25,High,1.22,High,1.137,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
2,T1573.001,Symmetric Cryptography,10,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
3,T1056.001,Keylogging,10,Critical,1.157,Moderate,1.228,High,1.064,Low,1.112,Moderate,1.238,High,1.176,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
4,T1132.001,Standard Encoding,10,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
5,T1074.001,Local Data Staging,10,Critical,1.0,Not Material,1.0,Not Material,1.224,High,1.056,Low,1.0,Not Material,1.176,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
6,T1573.002,Asymmetric Cryptography,10,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
7,T1486,Data Encrypted for Impact,10,Critical,1.087,Low,1.123,Moderate,1.32,Severe,1.098,Low,1.075,Low,1.22,High,1.25,High,1.135,Moderate,1.022,Low,1.32,Severe,1.0,Not Material,1.0,Not Material
8,T1560.001,Archive via Utility,10,Critical,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.05,Low,1.209,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
9,T1119,Automated Collection,10,Critical,1.087,Low,1.28,High,1.272,High,1.28,High,1.075,Low,1.209,Moderate,1.25,High,1.135,Moderate,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
10,T1090,Proxy,10,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.113,Moderate
11,T1560,Archive Collected Data,10,Critical,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.075,Low,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
12,T1490,Inhibit System Recovery,10,Critical,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.238,High,1.22,High,1.25,High,1.135,Moderate,1.22,High,1.32,Severe,1.036,Low,1.0,Not Material
13,T1489,Service Stop,10,Critical,1.087,Low,1.28,High,1.32,Severe,1.0,Not Material,1.05,Low,1.22,High,1.25,High,1.105,Low,1.022,Low,1.32,Severe,1.0,Not Material,1.0,Not Material
14,T1485,Data Destruction,10,Critical,1.087,Low,1.123,Moderate,1.32,Severe,1.0,Not Material,1.075,Low,1.22,High,1.25,High,1.135,Moderate,1.22,High,1.32,Severe,1.0,Not Material,1.0,Not Material
15,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,10,Critical,1.21,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.113,Moderate
16,T1657,Financial Theft,10,Critical,1.21,High,1.28,High,1.272,High,1.28,High,1.075,Low,1.22,High,1.25,High,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
17,T1071.001,Web Protocols,8.33,Critical,1.245,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
18,T1005,Data from Local System,8.33,Critical,1.087,Low,1.0,Not Material,1.0,Not Material,1.056,Low,1.188,Moderate,1.176,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.32,Severe,1.036,Low,1.0,Not Material
19,T1041,Exfiltration Over C2 Channel,8.33,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
20,T1113,Screen Capture,8.33,Critical,1.0,Not Material,1.0,Not Material,1.064,Low,1.056,Low,1.0,Not Material,1.154,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
