rank,attack_id,attack_vector,final_score,threat_grade,max_edge_case,max_edge_case_multiplier,edge_case_flags,Zero-Day / Unknown Exploit multiplier,Zero-Day / Unknown Exploit grade,Exploit Chain / Multi-Step multiplier,Exploit Chain / Multi-Step grade,Telemetry Gap / Evasion multiplier,Telemetry Gap / Evasion grade,Identity / MFA Bypass multiplier,Identity / MFA Bypass grade,Supply Chain / Trusted Dependency multiplier,Supply Chain / Trusted Dependency grade,Destructive / Ransomware multiplier,Destructive / Ransomware grade,Cloud / SaaS Tenant Blast Radius multiplier,Cloud / SaaS Tenant Blast Radius grade,Living-off-the-Land multiplier,Living-off-the-Land grade,AI-Scaled Social Engineering multiplier,AI-Scaled Social Engineering grade,Insider / Trusted Access multiplier,Insider / Trusted Access grade,Air-Gapped / ICS Safety multiplier,Air-Gapped / ICS Safety grade,Rare but High Impact multiplier,Rare but High Impact grade
1,T1105,Ingress Tool Transfer,10,Critical,Living-off-the-Land,1.142,Living-off-the-Land; Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius,1.121,Moderate,1.067,Low,1.025,Low,1.0,Not Material,1.054,Low,1.0,Not Material,1.063,Low,1.142,Moderate,1.054,Low,1.07,Low,1.0,Not Material,1.0,Not Material
2,T1573.001,Symmetric Cryptography,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
3,T1056.001,Keylogging,10,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,1.088,Low,1.133,Moderate,1.025,Low,1.15,Moderate,1.054,Low,1.055,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.14,Moderate,1.07,Low,1.04,Low
4,T1132.001,Standard Encoding,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
5,T1074.001,Local Data Staging,10,Critical,Cloud / SaaS Tenant Blast Radius,1.126,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.126,Moderate,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
6,T1573.002,Asymmetric Cryptography,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware; Telemetry Gap / Evasion,1.121,Moderate,1.022,Low,1.061,Low,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
7,T1486,Data Encrypted for Impact,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Telemetry Gap / Evasion,1.121,Moderate,1.094,Low,1.061,Low,1.08,Low,1.054,Low,1.22,High,1.18,Moderate,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
8,T1560.001,Archive via Utility,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.22,High,1.0,Not Material,1.052,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
9,T1119,Automated Collection,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Insider / Trusted Access; Identity / MFA Bypass,1.088,Low,1.103,Low,1.025,Low,1.06,Low,1.0,Not Material,1.055,Low,1.18,Moderate,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
10,T1090,Proxy,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,1.121,Moderate,1.094,Low,1.061,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
