rank,attack_id,attack_vector,is_subtechnique,parent_id,domains,platforms,tactics,severity_label,groups_count,software_count,total_usage,impact_score,asset_criticality,asset_criticality_reason,exploit_likelihood,exploit_likelihood_reason,detection_confidence,confident_score,bft_vote_proxy,raw_product_score,score_0_10,max_surface,max_surface_multiplier,surface_multiplier_grade,max_edge_case,max_edge_case_multiplier,edge_case_multiplier_grade,edge_case_flags,final_score,threat_grade,recommended_action,auto_containment_allowed,primary_surfaces,related_capec_count,related_capec_ids,related_cwe_count,related_cwe_ids,data_sources,mitigation_ids,mitigations,description
1,T1105,Ingress Tool Transfer,False,,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,86,400,486,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Living-off-the-Land,1.142,Moderate,Living-off-the-Land; Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Public Internet / Edge; Server / Workload; SaaS / Office / Email,0,,0,,Command; Process; Network Traffic; File,M1031; M1037,Network Intrusion Prevention; Filter Network Traffic,"Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as ftp. Once present, adversaries may also transfer/spread tools between victim devices within a compromised environment (i.e. Lateral Tool Transfer). On Windows, adversaries may use various utilities to download tools, such..."
2,T1573.001,Symmetric Cryptography,True,T1573,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,14,166,180,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Endpoint / User,0,,0,,Network Traffic; Process; Module; Application Log,M1031,Network Intrusion Prevention,"Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symmetric encryption algorithms include AES, DES, 3DES, Blowfish, and RC4."
3,T1056.001,Keylogging,True,T1056,enterprise,Linux; macOS; Network Devices; Windows,Collection; Credential Access,Critical,26,126,152,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Data / Storage,1.25,High,Identity / MFA Bypass,1.15,Moderate,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Network / Perimeter; Identity / IAM; Server / Workload; Public Internet / Edge,1,CAPEC-568,0,,Process; Firmware; Network Traffic; Windows Registry; File; Service,,,"Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when OS Credential Dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured. In order to increase the likelihood of capturing credentials quickly, an adversary may also perform actions such as clearing brow..."
4,T1132.001,Standard Encoding,True,T1132,enterprise,ESXi; Linux; macOS; Windows,Command and Control,Critical,11,113,124,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Network Traffic; Process; Script; Application Log,M1031,Network Intrusion Prevention,"Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encoding schemes include ASCII, Unicode, hexadecimal, Base64, and MIME. Some data encoding systems may also result in data compression, such as gzip."
5,T1074.001,Local Data Staging,True,T1074,enterprise,ESXi; Linux; macOS; Windows,Collection,Critical,28,94,122,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Cloud / SaaS Tenant Blast Radius,1.126,Moderate,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Data / Storage; Cloud Control Plane; Server / Workload; Endpoint / User,0,,0,,Command; Process; Snapshot; File,,,"Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data. Interactive command shells may be used, and common functionality within cmd and bash may be used to copy data into a staging location. Adversaries may also stage collected data in various available formats/locations of a system, including local storage databases/repositor..."
6,T1573.002,Asymmetric Cryptography,True,T1573,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,11,79,90,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Endpoint / User,0,,0,,Network Traffic; Process; Module; Application Log,M1031; M1020,Network Intrusion Prevention; SSL/TLS Inspection,"Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be freely distributed, and one private. Due to how the keys are generated, the sender encrypts data with the receiver’s public key and the receiver decrypts the data with their private key. This ensure..."
7,T1486,Data Encrypted for Impact,False,,enterprise; cloud,ESXi; IaaS; Linux; macOS; Windows,Impact,Critical,18,62,80,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Cloud Control Plane,1.32,Severe,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; ESXi / Hypervisor; Data / Storage; Server / Workload; Endpoint / User,0,,0,,Command; Process; File; Cloud Storage,M1040; M1053,Behavior Prevention on Endpoint; Data Backup,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key...
8,T1560.001,Archive via Utility,True,T1560,enterprise,Linux; macOS; Windows,Collection,Critical,39,34,73,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Data / Storage,1.25,High,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,0,,0,,Command; Process; File; Module,M1047,Audit,"Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport. Adversaries may abuse various utilities to compress or encrypt data before exfiltration. Some third party utilities may be preinstalled, such as <code>tar</code> on Linux and macOS or <code>zip</code> on Windows systems. On Windows, <code>diantz</code> or <code>..."
9,T1119,Automated Collection,False,,enterprise; cloud,IaaS; Linux; macOS; Office Suite; SaaS; Windows,Collection,Critical,21,46,67,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Identity / IAM,1.28,High,Cloud / SaaS Tenant Blast Radius,1.18,Moderate,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Insider / Trusted Access; Identity / MFA Bypass,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; SaaS / Office / Email; Cloud Control Plane; Data / Storage; Server / Workload,1,CAPEC-150,7,CWE-1239; CWE-1258; CWE-1266; CWE-1272; CWE-1323; CWE-1330; CWE-552,Process; Script; File; User Account,M1029; M1041,Remote Data Storage; Encrypt Sensitive Information,"Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. In cloud-based environments, adversaries may also use cloud APIs, data pipelines, command line interfaces, or extract, transform, and load (ETL) services to automatic..."
10,T1090,Proxy,False,,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,19,46,65,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; ICS / OT,0,,0,,Command; Process; Network Traffic; Firewall,M1037; M1031; M1020,Filter Network Traffic; Network Intrusion Prevention; SSL/TLS Inspection,"Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including HTRAN, ZXProxy, and ZXPortMap. Adversaries use these types of proxies to manage command and control communications, reduce the number of simultaneous outbound network connections, prov..."
